B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,NDVI_delta,NDVI_7d_mean,NDVI_14d_mean,NDVI_30d_mean,NDVI_30d_std,NDVI_trend_7d,NDVI_trend_30d,NDVI_season_max,days_since_peak,NDVI_rate,health_label
0.166,0.0834,0.0448,0.0768,0.0496,0.3485,0.570376307,0.750816378,-0.63884317,0.499220577,1/16/2023,,0.750816378,0.750816378,0.750816378,,,,0.750816378,-110,,Healthy
0.1988,0.1204,0.0494,0.0732,0.0543,0.326,0.530125654,0.714435972,-0.633266533,0.46296717,1/21/2023,-0.036380406,0.732626175,0.732626175,0.732626175,0.025724832,-0.036380406,,0.750816378,-105,-0.007276081,Healthy
0.1972,0.1218,0.0244,0.0647,0.0408,0.3072,0.486486486,0.765517241,-0.652057005,0.471226415,2/5/2023,0.05108127,0.739976606,0.743589864,0.743589864,0.026296215,0.05108127,,0.765517241,-90,0.010216254,Healthy
0.2269,0.1484,0.0462,0.0742,0.063,0.2756,0.406625354,0.627879504,-0.575757576,0.380276652,2/10/2023,-0.137637738,0.696698373,0.702610906,0.714662274,0.061710743,-0.137637738,,0.765517241,-85,-0.027527548,Mild Stress
0.2003,0.1391,0.0451,0.0744,0.0668,0.2375,0.328256606,0.560959579,-0.522924014,0.318351361,2/15/2023,-0.066919924,0.594419542,0.651452108,0.683921735,0.087069314,-0.066919924,,0.765517241,-80,-0.013383985,Mild Stress
,,,,,,,,,,2/20/2023,,0.560959579,0.594419542,0.683921735,0.087069314,,,0.765517241,-75,,Unknown
0.2577,0.2273,0.0678,0.1018,0.1208,0.2143,0.163392982,0.279021188,-0.355900032,0.167943959,2/25/2023,,0.279021188,0.419990384,0.589562697,0.190575235,,,0.765517241,-70,,Severe Stress
0.2077,0.1632,0.059,0.0831,0.099,0.1664,0.127854921,0.253956292,-0.333867735,0.132087797,3/2/2023,-0.025064895,0.26648874,0.26648874,0.497466761,0.223554075,-0.025064895,,0.765517241,-65,-0.005012979,Severe Stress
0.2837,0.2699,0.078,0.1068,0.1368,0.1921,0.096820506,0.168136212,-0.285379726,0.100072385,3/12/2023,-0.085820081,0.211046252,0.233704564,0.377990555,0.20318737,-0.085820081,,0.765517241,-55,-0.017164016,Severe Stress
0.2283,0.173,0.082,0.1088,0.1298,0.1835,0.099643732,0.171401213,-0.255559357,0.099040944,3/22/2023,0.003265001,0.169768712,0.197831239,0.286694897,0.161012898,0.003265001,,0.765517241,-45,0.000653,Severe Stress
0.3019,0.2422,0.0956,0.1482,0.1616,0.2656,0.171255434,0.243445693,-0.283711938,0.16824849,3/27/2023,0.07204448,0.207423453,0.194327706,0.223192119,0.050465279,0.07204448,,0.765517241,-40,0.014408896,Severe Stress
,,,,,,,,,,4/6/2023,,0.243445693,0.207423453,0.223192119,0.050465279,,,0.765517241,-30,,Unknown
0.3308,0.2772,0.0991,0.1324,0.1423,0.3227,0.314669458,0.387956989,-0.418149857,0.280414508,4/11/2023,,0.387956989,0.315701341,0.24497928,0.089224651,,,0.765517241,-25,,Severe Stress
0.2362,0.1637,0.0445,0.0782,0.0747,0.2466,0.31574887,0.535014006,-0.518472906,0.313953488,4/16/2023,0.147057016,0.461485497,0.461485497,0.301190822,0.158181084,0.147057016,,0.765517241,-20,0.029411403,Mild Stress
,,,,,,,,,,4/21/2023,,0.535014006,0.461485497,0.334454475,0.161199265,,,0.765517241,-15,,Unknown
0.2261,0.1346,0.0089,0.0433,0.021,0.4315,0.688411873,0.90718232,-0.817607414,0.646456693,5/6/2023,,0.90718232,0.721098163,0.518399752,0.285215105,,,0.90718232,0,,Healthy
0.1886,0.1155,0.0575,0.0784,0.0532,0.4239,0.706445097,0.776985957,-0.687835955,0.569081977,5/11/2023,-0.130196364,0.842084139,0.842084139,0.651784818,0.23391149,-0.130196364,,0.90718232,5,-0.026039273,Healthy
0.2278,0.1423,0.0295,0.0648,0.0469,0.4043,0.610126669,0.792109929,-0.723726284,0.563603869,5/21/2023,0.015123972,0.784547943,0.825426069,0.67984984,0.212071135,0.015123972,,0.90718232,15,0.003024794,Healthy
0.2261,0.1464,0.045,0.078,0.0586,0.3624,0.551761714,0.721615202,-0.645776567,0.494788274,5/31/2023,-0.070494727,0.756862565,0.763570363,0.746581483,0.136174532,-0.070494727,,0.90718232,25,-0.014098945,Healthy
0.2212,0.1376,0.0545,0.0861,0.0612,0.3443,0.543273844,0.698150432,-0.599907063,0.468967421,6/10/2023,-0.02346477,0.709882817,0.737291854,0.779208768,0.081295885,-0.02346477,,0.90718232,35,-0.004692954,Healthy
0.2508,0.1593,0.06,0.0998,0.0891,0.3308,0.426911121,0.575613241,-0.536460752,0.394118926,6/15/2023,-0.12253719,0.636881836,0.665126292,0.74527618,0.110434324,-0.12253719,-0.056138477,0.90718232,40,-0.024507438,Mild Stress
